Building_name,Event,Event_year,Structural_system,No_stories_above_grade,No_stories_below_grade,Approx_building_height_ft,Structural_irregularities_Vulnerabilities,Type_of_collapse,Approx_max_collapse_distance_ft,Approx_max_debris_distance_ft
Apartment building in Dali,"Chi Chi, Taiwan EQ",1999,RC moment frame + infill masonry walls,10,0,100,Soft story,Story mechanism + monolithic,100,?
Apartment building in Fengyuan,"Chi Chi, Taiwan EQ",1999,RC moment frame + infill masonry walls,11,0,110,Soft story,Story mechanism + monolithic,110,?
11-story building in Shingjuang,"Chi Chi, Taiwan EQ",1999,RC moment frame + infill masonry walls,11,0,110,Soft story,Story mechanism,10,?
Condo in Dung-shr,"Chi Chi, Taiwan EQ",1999,RC moment frame + infill masonry walls,8,0,80,Soft story,Story mechanism,15,?
Assembly building,"Armenia, Colombia",1999,RC columns with infill masonry walls,4,0,40,Vertical irregularities and pounding,Monolithic,30,45
WTC 1 & 2,9/11 Terrorist Attacks,2001,Steel perforated exterior steel bearing wall & frame core,110,0,1386,-,Banana peel,700,1500
WTC 7,9/11 Terrorist Attacks,2001,Perimeter Moment Frames,49,0,749,Transfer Girders,Implosion,0,70
Windsor Tower,"Building Fire, Madrid",2005,Concrete Core + Steel Frame,29,0,348,Lack of fire sprinkler,Pancake,70,100
Alto Rio,"Maule, Chile EQ",2010,RC shear walls,15,0,150,Soft story,Story mechanism + monolithic,150,?
Torre O’Higgins 241,"Maule, Chile EQ",2010,RC shear walls,21,0,175,Vertical geometry irregularities,Story mechanism,0,?
Weiguan Jinlong Building,Southern Taiwan EQ,2016,RC moment frame,16,1,165,Soft story,Story mechanism + monolithic,130,?
Plasco Building,"Building Fire, Tehran",2017,Steel frame and truss,15,0,138,Specialty trusses,Pancake,50,70
Calz. de Tlalpan 2050,"Mexico City, Mexico EQ",2017,Mixed,1,0,17,Long span,Sidesway,?,?
Patricio Sanz 37,"Mexico City, Mexico EQ",2017,RC columns and flat slab,6,0,54,Soft story and Non-ductile detailing,Story mechanism,9,18
Magnolia 76,"Mexico City, Mexico EQ",2017,Unreinforced masonry,2,0,20,Non-ductile detailing,Sidesway,9,27
Mina 16,"Mexico City, Mexico EQ",2017,Unreinforced masonry,2,0,20,Non-ductile detailing,Sidesway,9,27
Amsterdam 107,"Mexico City, Mexico EQ",2017,RC columns and flat slab,9,0,83,Non-ductile detailing,Pancake,18,36
Paseo de las Galias 47,"Mexico City, Mexico EQ",2017,RC columns and flat slab,5,0,47,Soft-story and Non-ductile detailing,Story mechanism,9,18
Rancho de los Arcos 32,"Mexico City, Mexico EQ",2017,Confined masonry walls,6,0,54,-,Sidesway,45,60
Concepción Beistegui 1503,"Mexico City, Mexico EQ",2017,RC columns and flat slab,5,0,47,Torsional irregularity (corner building),Partial pancake,18,36
